,_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
4809,219825,1002,6779,The Lord of the Rings: The Fellowship of the Ring Board Game,2002.0,Age of Steam,2002.0
4314,199227,4321,1086,The Hammer of Thor: The Game of Norse Mythology,1980.0,Arena of Death,1980.0
3795,175650,97,3354,World War II in the West,2004.0,Defiant Russia 1941 - The War Against Nazi Aggression,2004.0
3884,178839,2731,10256,Wings of War: Famous Aces,2004.0,A Game of Thrones: A Clash of Kings Expansion,2004.0
1809,72052,5183,2028,By Force Of Arms,1994.0,Avalanche - The Invasion of Italy,1994.0
2437,112608,4561,9354,The Wheel of Time Collectible Card Game,2000.0,Empires of the Ancient World,2000.0
1852,73758,876,7538,Rio Grande:  The Battle of Valverde,1991.0,The Great Battles of Alexander,1991.0
201,6950,6528,2690,Ruweisat Ridge: The First Battle of El Alamein,1985.0,Battle of the Bulge (1st Printing),1985.0
3641,169394,6871,6312,Seekrieg (Fourth Edition),1981.0,Harpoon (1990-1991 Edition w/Data Annex),1981.0
2956,137546,5203,6214,Battlecards: World Conflict - Western European Campaign - Starter Set,2001.0,Second World War at Sea: Eastern Fleet,2001.0
4446,206325,2657,1075,Masters of the Universe: War and Conquer Giant Card Games,1983.0,War in the South Atlantic,1983.0
2969,138302,5501,4935,The Game of Life in Monstropolis,2001.0,Red Badge of Courage,2001.0
2812,127834,1811,9267,Battle of the Bands,2001.0,Lord of the Rings: Friends & Foes Expansion,2001.0
3369,158864,3023,2684,The Siege of Leningrad,1976.0,Bay of Pigs,1976.0
416,13425,435,3779,Mission Command Sea,2003.0,Mission Command - Sea Game,2003.0
1681,66863,6560,972,Cortes: Conquest of the Aztec Empire,1993.0,Tide of Fortune,1993.0
3957,183241,3145,6972,War of the Ring (first edition),2004.0,Bitter Woods (1st Edition),2004.0
4614,212417,661,1827,Zulu: Isandhlwana,1979.0,Zulu - Rorke's Drift,1979.0
77,3845,521,9313,Mobile Suit Z Gundam game: Take off MkII,1985.0,Star Trek - The Adventure Game,1985.0
832,34279,2015,1426,Tyrant: Battles of Carthage versus Syracuse,2003.0,Dungeoneer: Vault of the Fiends,2003.0
1184,46161,5888,2197,Ultimate Muscle: The Kinnikuman Legacy Battle Card Game,2003.0,"Suicide Bomber Card Game, The",2003.0
3836,177156,2215,8767,Days of Decision III,2004.0,The Downfall of Pompeii,2004.0
245,8791,57,902,MINDFIELD The Game of US Military Trivia,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
2739,124258,6970,6658,Echelons of Fury,1995.0,Legend of the Five Rings,1995.0
2037,79557,3173,4811,Trolls The Magic Wish Game,1992.0,Distant Seas - The Merchant Marine Game,1992.0
5169,237820,4872,798,Yugioh! Hexors Collectible Battle Tile Game,2002.0,The Scrambled States of America Game,2002.0
1807,72040,5169,8235,An Evening of Murder: Winner Take All,1994.0,Eagles of the Empire: Borodino,1994.0
2124,84989,2146,4170,Pegasus Bridge: ASL Historical Module 4,1997.0,ASL Classic,1997.0
5360,246485,6357,1505,The Wonderful World of Music Game,2002.0,Panzer Grenadier: Battle of the Bulge,2002.0
4226,193742,6437,779,Napoleon and the Archduke Charles: The Battle of Aspern-Essling,1986.0,King Arthur and the Knights of the Round Table,1986.0
3181,148960,2026,2628,Blue's Clues Big Easy Game,1998.0,Katzenjammer Blues,1998.0
1506,59714,4105,7987,Redemption: City of Bondage,1996.0,Dicemaster: Wilds of Doom,1996.0
1952,75887,5860,8814,Hordes of the Things,1991.0,Bastogne - Crossroads of Death,1991.0
1860,73901,1132,423,Three of a Crime,1991.0,"Stand & Die - The Battle of Borodino, 1941",1991.0
3576,167373,4722,4508,Battle of the Bulge,1981.0,Attack of the Mutants,1981.0
320,11010,218,1961,The Settlers of Zarahemla,2003.0,Battle Cry of Freedom,2003.0
4938,226823,3698,2127,Pizarro & Co.,2002.0,Pizarro & Co.,2002.0
3528,166215,2238,1883,Empire (third edition),1981.0,Battlewagon (2nd Edition),1981.0
4270,197447,6471,8334,South Africa,1977.0,South Africa,1977.0
677,27289,1626,1623,Risk: The Lord of the Rings Trilogy Edition,2003.0,Arnhem - Defiant Stand (1st Edition),2003.0
774,30850,1727,8067,Dungeoneer: Vault of the Fiends,2003.0,The Bridges of Shangri-La,2003.0
3306,156843,6497,8466,Tokimeki Memorial 2 Game of Life ('Jinsei Game'),1998.0,"Last Days of the Grande Armee, The",1998.0
754,30439,1710,3312,The Bridges of Shangri-La,2003.0,Pack of Flies,2003.0
1719,69097,1884,3300,Spires of the Kremlin,1994.0,Fields of Honor,1994.0
1567,61140,5283,2647,Mysteries by Vincent: High Noon on the Silver Spittoon,1996.0,Buy Low Sell High,1996.0
1864,73917,1132,9874,Three of a Crime,1991.0,Eyes Of The Jungle,1991.0
3991,184007,3203,6042,Greed Quest,2004.0,Killer Bunnies and the Quest for the Magic Carrot GREEN Booster,2004.0
547,20942,1158,1690,History's Mysteries Card Game,2003.0,Mission Command - Air Game,2003.0
3598,167731,5003,2737,Cradle of Civilization,1981.0,Ace of Aces - Powerhouse Series,1981.0
2987,139406,5821,2262,Split (Revised Edition),2001.0,Monopoly - Simpsons Collector's Edition,2001.0
555,21198,1210,9404,Carcassonne: The Castle,2003.0,Carcassonne: The Castle,2003.0
3061,144602,4684,1551,Borderline: USA Edition,1989.0,Borderline: USA Edition,1989.0
3507,164714,60,4754,Electronic Lightfight: The Games of Dueling Lights,1981.0,"Dukes of Hazzard Game, The",1981.0
3102,147388,974,7275,Caves & Claws,1998.0,Caves & Claws,1998.0
2678,122062,4309,6658,Warhammer Quest: Lair of the Orc Lord,1995.0,Legend of the Five Rings,1995.0
477,17523,782,229,One False Step for Mankind,2003.0,One False Step for Mankind,2003.0
3153,148590,1731,4546,Monopoly: The Wizard of Oz,1998.0,Joan of Arc,1998.0
551,20971,1158,4121,History's Mysteries Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
3332,158191,1292,3697,Field Regulations,1976.0,Field Marshal,1976.0
2264,98156,4574,4319,Yukon Company,1999.0,Yukon Company,1999.0
2363,106038,1487,749,Triumph & Glory: Battles of the Napoleonic Wars 1796-1809,2000.0,Merchants of Amsterdam,2000.0
1077,44583,3401,1426,Hubbub: The Game of Sound Mind &  Body,2003.0,Dungeoneer: Vault of the Fiends,2003.0
458,15385,631,6771,Final Days: Miniatures Battle Game,2003.0,10 Days in Africa,2003.0
141,5809,4893,2528,Code 777,1985.0,Code 777,1985.0
3240,153412,4075,2628,Katzenjammer Blues,1998.0,Katzenjammer Blues,1998.0
1520,60175,4610,10190,Yu-Gi-Oh! Trading Card Game,1996.0,James Ernest's Totally Renamed Spy Game,1996.0
636,25760,1557,4933,Monopoly: The Lord of the Rings Trilogy Edition,2003.0,Ark Of The Covenant,2003.0
882,34778,2035,5488,Risk: Lord of the Rings Expansion Set (incl. Siege of Minas Tirith game),2003.0,Legends of Football,2003.0
1629,64741,3282,1675,The Lion King Sounds of Fun Electronic Game,1993.0,"Campaigns of Frederick the Great, The",1993.0
1141,45336,4882,2532,Worlds of Heroes & Tyrants: Hell Card Expansion #2 - Anger Management,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
4725,216803,4510,7453,1776: The Birth Of A Nation,1974.0,"Battle of Helm's Deep, The (1st Printing)",1974.0
1713,68791,1541,3300,Video Fighter: Dragons of Fury,1994.0,Fields of Honor,1994.0
4637,213446,3593,10151,Invasion of the Air-eaters,1979.0,War of the Sky Cities,1979.0
3058,144285,4140,8198,Harvest of Death: The Second Day at Gettysburg,1989.0,"Guns of Cedar Creek, The",1989.0
2449,113128,4725,42,Tales of Ulysse,2000.0,Teams of Enemies,2000.0
872,34742,2035,1690,Risk: Lord of the Rings Expansion Set (incl. Siege of Minas Tirith game),2003.0,Mission Command - Air Game,2003.0
3753,174391,6226,1186,The Journeys of Paul,1990.0,Ace of Aces - Jet Eagles,1990.0
2572,119696,2548,10254,Rummikub Rummy Dice Game,1995.0,Black Wednesday Board Game,1995.0
1477,57705,2690,10190,Highlander: The Card Game,1996.0,James Ernest's Totally Renamed Spy Game,1996.0
741,30064,1701,2532,Crown of the Emperor,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
3558,166950,3969,3688,The Return of the Stainless Steel Rat,1981.0,"Fall of South Vietnam, The",1981.0
4765,218494,706,9165,Constellation: The Space Race Game,2002.0,Harry Potter and the Chamber of Secrets - Trivia Game,2002.0
3816,176054,960,9130,Sword of Rome,2004.0,In Shadow of the Emperor,2004.0
1613,63947,1804,4151,Blood & Thunder,1993.0,Blood & Thunder,1993.0
286,9046,67,8067,Rival Den of Thieves,2003.0,The Bridges of Shangri-La,2003.0
1939,75713,5493,7538,Heroes of the Maze,1991.0,The Great Battles of Alexander,1991.0
1968,76646,252,5519,Cutlass of Fire,1992.0,Emperors of Europe,1992.0
175,6313,5520,3647,Rommel's War,1985.0,World War II - European Theater of Operations,1985.0
3066,145013,5189,8198,An Evening of Murder: Last Kiss,1989.0,"Guns of Cedar Creek, The",1989.0
3,167,270,2114,The Campaigns of Robert E. Lee,1988.0,Ace of Aces - Wingleader,1988.0
3966,183277,3145,10169,War of the Ring (first edition),2004.0,Maharaja: The Game of Palace Building in India,2004.0
1689,66934,6562,9916,Antietam: Burnished Rows of Steel,1993.0,Army of Darkness,1993.0
1397,54147,6887,902,Lord of the Rings,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
448,15316,631,270,Final Days: Miniatures Battle Game,2003.0,10 Days in the USA,2003.0
3305,156841,6497,7452,Tokimeki Memorial 2 Game of Life ('Jinsei Game'),1998.0,The Extraordinary Adventures of Baron Munchausen,1998.0
3869,178757,2731,3337,Wings of War: Famous Aces,2004.0,Heart of Africa,2004.0
2650,121532,4102,10254,Squares: The Civil War Battle Game,1995.0,Black Wednesday Board Game,1995.0
137,5781,4799,8236,Cromwell's Victory: The Battle of Marston Moor,1985.0,Ace of Aces - Balloon Buster,1985.0
5553,250778,3461,6273,Wings of War: Watch Your Back!,2005.0,"Island of Dread, The",2005.0
782,30914,1739,5488,Quest for the DragonLords: The Crystal of Power,2003.0,Legends of Football,2003.0
5035,232420,4274,328,Lord of the Rings: Sauron,2002.0,Eagles of the Empire - Napoleon in the Desert,2002.0
525,19796,1023,6629,Fish Eat Fish,2003.0,Fish Eat Fish,2003.0
2817,128010,1939,4440,Star Wars: Silent Death Starfighter Combat Game,2001.0,Triple Challenge Board Game,2001.0
133,5641,4092,8236,History of the Second World War,1985.0,Ace of Aces - Balloon Buster,1985.0
1294,51345,6669,6235,Duel of Ages Set 6: Field of Honor,2003.0,America Triumphant - Battle of the Bulge,2003.0
808,31725,1776,3159,& Cetera,2003.0,&cetera,2003.0
5541,250722,3461,1501,Wings of War: Watch Your Back!,2005.0,Euphrates & Tigris - Contest of Kings,2005.0
4826,220634,1553,328,Eagles of the Empire: Napoleon in the Desert,2002.0,Eagles of the Empire - Napoleon in the Desert,2002.0
2262,97858,4484,2281,Elk Fest,1999.0,Elk Fest,1999.0
4489,207705,5431,8333,Close Assault,1983.0,Close Assault,1983.0
5457,249244,1058,1679,Winds Of Plunder,2007.0,Age of Discovery,2007.0
3941,183173,3145,785,War of the Ring (first edition),2004.0,Armies of Chivalry,2004.0
5317,243438,5583,2285,Null Bock!,2002.0,Null Bock!,2002.0
3539,166542,3165,7686,Fast 111's,1981.0,Fast 111's,1981.0
4073,186398,3527,1184,Seasons: The Calendar Rummy Game,2004.0,"Game of Life, The - Pirates of the Caribbean (Collector's Edition)",2004.0
247,8798,57,1690,MINDFIELD The Game of US Military Trivia,2003.0,Mission Command - Air Game,2003.0
3679,171162,4388,72,Games of Art,1975.0,Royal Armies of the Hyborean Age,1975.0
5503,249693,1472,9334,Flags of the World,2008.0,A World at War,2008.0
1787,71398,4308,9764,Star Trek: Customizable Card Game (first edition),1994.0,MindTrap - Audio Mystery Edition,1994.0
5278,241945,5218,2111,The War to End All Wars: Box Set Edition,2002.0,Apples to Apples Junior Edition (Mattel) Brand New,2002.0
2754,125310,439,8452,Ghost in a Box,2001.0,Ghost Chase,2001.0
3543,166786,3501,4754,The Smurf Game,1981.0,"Dukes of Hazzard Game, The",1981.0
2472,114134,5385,4290,Aladdin's Dragons,2000.0,River Dragons,2000.0
4176,191303,3428,4337,Carry On Camping Trivia Game,1986.0,"Kage Game, The",1986.0
5479,249561,1472,1357,Flags of the World,2008.0,Second World War at Sea: Arctic Convoy,2008.0
722,28350,1656,6505,The Lord of the Rings: Combat Hex Tradeable Miniatures Game,2003.0,The Fall of France,2003.0
2155,87786,5127,5651,Bohnanza Erweiterungs-Set,1997.0,Bohnanza,1997.0
3893,180421,2887,3326,Duel of Ages: Masters Addendum,2004.0,Heroscape Master Set: Rise of the Valkyrie,2004.0
3484,163619,5482,813,Flight of the Boodles,1982.0,Gettysburg - High Tide of the Confederacy,1982.0
4144,189143,283,8129,Baffles: Intriguing Game of Words,1986.0,The Price of Freedom,1986.0
5032,232168,4256,4867,When Darkness Comes,2002.0,When Darkness Comes ... Hell Unleashed,2002.0
4690,215744,4200,9317,Cooks Tours: European Travel Game,1972.0,Astrology - The Game of Prediction,1972.0
5274,241693,5186,6779,War Of The Ages,2002.0,Age of Steam,2002.0
4066,186068,3403,1356,The Russo-Japanese War,2004.0,Great War at Sea: Cruiser Warfare,2004.0
1855,73764,876,9874,Rio Grande:  The Battle of Valverde,1991.0,Eyes Of The Jungle,1991.0
814,33217,1949,6071,Battlecards: World Conflict - North African Campaign - Starter Set,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
1095,44859,3520,1426,Disney's The Lion King Circle of Life Dominoes,2003.0,Dungeoneer: Vault of the Fiends,2003.0
1131,45269,4881,6071,Worlds of Heroes & Tyrants: Hell,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
2586,120209,3078,3279,Are You Afraid of the Dark?,1995.0,Eagles of the Empire: Friedland,1995.0
526,20566,1095,811,The Suicide Bomber Card Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
2709,122972,5273,10254,Rules of the Game,1995.0,Black Wednesday Board Game,1995.0
1742,69622,2533,7633,Norns: The Shirt Game,1994.0,Gettysburg - The Battlefield Game,1994.0
2135,85920,3328,4332,ASL Action Pack #1,1997.0,Aussie ASL '97 Pack,1997.0
1778,71177,4187,5419,Talisman (third edition): Dungeon of Doom,1994.0,Age of Exploration,1994.0
4480,207292,4716,1344,Iwo Jima: Valor of Arms 19 Feb. - 25 March 1945,1983.0,"Iwo Jima: Valor of Arms, 19 Feb. – 25 March 1945",1983.0
5518,250224,2108,1858,A Box of Silly Word Games,2005.0,Lawrence of Arabia (1st Edition),2005.0
2039,79588,3176,4811,Aladdin: Sounds of Fun Electronic Talking Board Game,1992.0,Distant Seas - The Merchant Marine Game,1992.0
4199,192739,5132,8129,Knights of Justice: The Siege of Malta 1565,1986.0,The Price of Freedom,1986.0
3168,148777,1878,7452,Clash of Titans: The Tank Battle for Kursk 1943,1998.0,The Extraordinary Adventures of Baron Munchausen,1998.0
3258,154097,4391,5885,Kahuna,1998.0,Kahuna,1998.0
3635,169327,6771,2737,Beware of the Wolf!,1981.0,Ace of Aces - Powerhouse Series,1981.0
2484,114980,5789,641,APBA Major League Baseball: All Star Edition,2000.0,Monopoly - Lionel Post-War Era (Collector's Edition),2000.0
1566,61060,5280,2176,Mysteries by Vincent: A Very Domestic Demise,1996.0,"Very Clever Pipe Game, The",1996.0
1107,45131,4879,902,Worlds of Heroes & Tyrants: Hell Card Expansion #3 - The Maze,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
1020,40034,2514,6505,The Lord of the Rings Labyrinth,2003.0,The Fall of France,2003.0
2274,98857,4924,696,FS Chess Football: A Thinking Fan's Game,1999.0,Tile Chess,1999.0
554,21149,1210,3376,Carcassonne: The Castle,2003.0,Carcassonne: Traders & Builders,2003.0
5528,250274,2108,6273,A Box of Silly Word Games,2005.0,"Island of Dread, The",2005.0
3290,156580,6218,6767,Cranium Cariboo,1998.0,Cranium (Used),1998.0
37,1669,3216,4064,Guess My Name Game,1988.0,Antiques Roadshow - The Game,1988.0
2735,124236,6970,799,Echelons of Fury,1995.0,Blazing Aces! A Fistful of Family Card Games,1995.0
2839,129285,2345,6198,Sacrifice in the East,2001.0,Borderline: Europe/Middle East Edition,2001.0
2180,89996,363,4319,Hot Company,1999.0,Yukon Company,1999.0
4631,213302,3255,3628,The Black Hole: Voyage of Fear Game,1979.0,Napoleon's Art of War - Eylau & Dresden,1979.0
4728,216858,5793,7343,Basketball Strategy,1974.0,Basketball Strategy (Blue Box),1974.0
2657,121702,4227,6658,Challenge of the Lion Lord,1995.0,Legend of the Five Rings,1995.0
5217,240809,5080,2111,The Prestel New York Architecture Game,2002.0,Apples to Apples Junior Edition (Mattel) Brand New,2002.0
2668,121901,4297,3279,Echelons of Fire,1995.0,Eagles of the Empire: Friedland,1995.0
2512,116929,6873,4290,River Dragons,2000.0,River Dragons,2000.0
3364,158717,2659,8565,Jacksonville: the Beaches of DOOM,1976.0,"Battle of Camden, S.C., The",1976.0
3254,153897,4320,7249,Wheel of Intoxication,1998.0,Maul of America,1998.0
2643,121434,4043,3690,Quests of the Round Table,1995.0,Mystery of the Abbey,1995.0
2368,106117,1495,9872,Gundam G-Generation Digiboard Mission,2000.0,Electronic Battleship - Advanced Mission,2000.0
179,6521,5779,8236,Streets of Fire: ASL Deluxe Module 1,1985.0,Ace of Aces - Balloon Buster,1985.0
4976,228262,3789,4642,World War II: Barbarossa to Berlin,2002.0,World War II: Barbarossa to Berlin,2002.0
3809,175984,960,3619,Sword of Rome,2004.0,Autumn Mist - The Battle of the Bulge (1st Printing),2004.0
1438,55569,156,6884,Monopoly: Coca-Cola Collector's Edition,1996.0,Baraque de Fraiture - The Battle for Parker's Crossroads (2nd Edition),1996.0
938,37071,2180,4121,20th Century Time Travel Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
5333,245421,6100,1542,Zeppelin Battles of the Great War,2002.0,Settlers of Canaan,2002.0
5223,240920,5090,8018,Fire on the Suns: Tactical Command (2nd Edition),2002.0,Frag (1st Edition),2002.0
4691,215755,4267,7368,Breakout & Pursuit,1972.0,Breakout & Pursuit (Flat White Box),1972.0
1633,64788,3294,972,Tales of the Crystals,1993.0,Tide of Fortune,1993.0
2562,119045,1726,8743,Star Wars: Death Star Assault Game,1995.0,Star Wars - Death Star Assault Game,1995.0
3127,147840,1347,6359,Caesar: Conquest of Gaul,1998.0,Caesar: Conquest of Gaul Board Game,1998.0
2993,139793,5925,6831,Best of TriBond,2001.0,Atlantis - Pathways of the Deep,2001.0
3452,162103,3135,7535,Broadsides and Boarding Parties,1982.0,Boarding Party,1982.0
4464,207084,4314,3196,War of Masters,1983.0,Ace of Aces - Flying Machines,1983.0
4544,208657,6554,1344,Epoch Wargame Electronics #8: Battle of the Midway,1983.0,"Iwo Jima: Valor of Arms, 19 Feb. – 25 March 1945",1983.0
633,25743,1557,2766,Monopoly: The Lord of the Rings Trilogy Edition,2003.0,Dreadnoughts & Battlecruisers (Classic Edition),2003.0
3444,161445,1993,983,Star Fleet Battles Expansion #2,1982.0,Borderlands Expansion Set #1,1982.0
3950,183206,3145,4254,War of the Ring (first edition),2004.0,Verdun - The Game of Attrition,2004.0
1921,75088,3615,8814,The Famous Monarchs of England Card Game,1991.0,Bastogne - Crossroads of Death,1991.0
452,15334,631,1961,Final Days: Miniatures Battle Game,2003.0,Battle Cry of Freedom,2003.0
3720,172412,1425,1444,Co-Op Games Manual,1990.0,Co-op Games Manual,1990.0
4979,228647,3810,9165,Kaos The Game,2002.0,Harry Potter and the Chamber of Secrets - Trivia Game,2002.0
1256,50630,6573,8067,Duel of Ages Set 1: Worldspanner,2003.0,The Bridges of Shangri-La,2003.0
5225,240932,5090,9450,Fire on the Suns: Tactical Command (2nd Edition),2002.0,Rome's Greatest Foe - The 2nd Punic War (1st Edition),2002.0
5068,233572,4442,2524,The Fall of Castle Bondi,2002.0,Clash of the Gladiators,2002.0
1556,60961,5258,6323,Dicemaster: Cities of Doom,1996.0,Red Steel - Clash of Armor at Kishinev,1996.0
